Category,Cooker
Brand,Legrand
Product Name,Description,Price,Standard Packing,Visibility (Yes or No)
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
,,,,Yes
